p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
83	15	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	7	[-1, 1, 1, -4, -1]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	15	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	138	[4, 3, 1, -9, 0]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	2	FOUND	YES_EXACT	11	[0, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	3	FOUND	YES_EXACT	9	[-1, 0, -2, 0, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	4	FOUND	YES_EXACT	18	[-1, 0, -4, -1, -2]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	16	5	1	[1, 2, 3, 4, 5]	5	5	FOUND	YES_EXACT	11	[0, -3, -9, -1, -3]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	6	[0, 0, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	6	[0, -1, 0, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	36	[-1, 0, 0, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	17	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	44	[-1, 0, 2, -5, -8]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	2	FOUND	YES_EXACT	13	[-1, 0, -1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	3	FOUND	YES_EXACT	25	[-2, -1, 0, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	4	FOUND	YES_EXACT	6	[-1, -1, 0, 0, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	18	5	1	[1, 2, 3, 4, 5]	5	5	FOUND	YES_EXACT	126	[-3, -7, -4, -1, -5]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	8	[1, -1, 0, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	6	[-1, -3, 1, 0, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	10	[0, -4, 1, -2, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	19	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	11	[0, -4, 2, 0, -7]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	8	[-1, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	10	[-3, -1, -2, -2, 1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	18	[-7, -3, -2, -3, 2]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	20	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	26	[-14, -7, -6, -7, 5]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	2	FOUND	YES_EXACT	13	[-2, -1, 0, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	3	FOUND	YES_EXACT	18	[-2, 0, 1, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	4	FOUND	YES_EXACT	6	[0, 1, 1, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	21	5	1	[1, 2, 3, 4, 5]	5	5	FOUND	YES_EXACT	9	[2, 2, 1, 3, -7]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	6	[-1, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	12	[1, -1, -1, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	6	[0, -2, -2, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	22	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	6	[1, -3, -4, 3, -7]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	13	[-1, -1, 1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	8	[-2, -1, 0, 0, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	8	[1, 1, 0, 1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	23	5	2	[2, 3, 4, 5]	4	5	FOUND	YES_EXACT	7	[1, 2, 0, 0, -6]	1024	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	24	5	2	[2, 3, 4, 5]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	24	5	2	[2, 3, 4, 5]	4	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	24	5	2	[2, 3, 4, 5]	4	2	FOUND	YES_EXACT	14	[0, 1, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	24	5	2	[2, 3, 4, 5]	4	3	FOUND	YES_EXACT	7	[0, 1, -2, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
83	24	5	2	[2, 3, 4, 5]	4	4	FOUND	YES_EXACT	8	[1, 1, -2, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
